E0:2F:6D:64:4A:AC,Cisco-IP-Phone
E0:2F:6D:64:67:EA,Cisco-IP-Phone
E0:2F:6D:64:4D:04,Cisco-IP-Phone
E0:2F:6D:64:08:67,Cisco-IP-Phone
E0:2F:6D:64:01:CC,Cisco-IP-Phone
E0:2F:6D:63:E3:89,Cisco-IP-Phone
E0:2F:6D:64:1C:BC,Cisco-IP-Phone
E0:2F:6D:64:5C:CA,Cisco-IP-Phone
E0:2F:6D:64:5E:69,Cisco-IP-Phone
E0:2F:6D:64:22:96,Cisco-IP-Phone
E0:2F:6D:63:E4:39,Cisco-IP-Phone
E0:2F:6D:64:94:07,Cisco-IP-Phone
E0:2F:6D:64:4B:1B,Cisco-IP-Phone
E0:2F:6D:64:4D:D5,Cisco-IP-Phone
E0:2F:6D:64:43:59,Cisco-IP-Phone
E0:2F:6D:64:23:B7,Cisco-IP-Phone
E0:2F:6D:64:59:F0,Cisco-IP-Phone
E0:2F:6D:63:FE:BD,Cisco-IP-Phone
E0:2F:6D:64:4B:0A,Cisco-IP-Phone
E0:2F:6D:64:0C:DC,Cisco-IP-Phone